country_name,country_name_short,v2elloelsy,year_start,year_end,v2elloelsy_l
Afghanistan,AFG,10,2005,2020,SNTV
Angola,AGO,8,1992,2020,List PR with large MMDs
Albania,ALB,8,2009,2020,List PR with large MMDs
United Arab Emirates,ARE,10,2006,2020,SNTV
Argentina,ARG,7,1965,2020,List PR with small MMDs
Armenia,ARM,8,2017,2020,List PR with large MMDs
Australia,AUS,2,1922,2020,Alternative vote (SMD)
Austria,AUT,7,1994,2020,List PR with small MMDs
Azerbaijan,AZE,5,1995,2020,Parallel (SMD/PR)
Burundi,BDI,7,1993,2020,List PR with small MMDs
Belgium,BEL,8,1946,2020,List PR with large MMDs
Benin,BEN,7,1995,2020,List PR with small MMDs
Bangladesh,BGD,0,1973,2020,First-past-the-post
Bulgaria,BGR,5,1990,2020,Parallel (SMD/PR)
Bahrain,BHR,1,2002,2020,Two-round system
Bosnia and Herzegovina,BIH,8,2006,2020,List PR with large MMDs
Belarus,BLR,0,2016,2020,First-past-the-post
Bolivia,BOL,6,1997,2020,Mixed-member PR
Brazil,BRA,5,1947,2020,Parallel (SMD/PR)
Barbados,BRB,0,1951,2020,First-past-the-post
Bhutan,BTN,0,2008,2020,First-past-the-post
Botswana,BWA,0,1965,2020,First-past-the-post
Central African Republic,CAF,1,1993,2020,Two-round system
Canada,CAN,0,1841,2020,First-past-the-post
Switzerland,CHE,8,1919,2020,List PR with large MMDs
Chile,CHL,7,1925,2020,List PR with small MMDs
Ivory Coast,CIV,0,1980,2020,First-past-the-post
Cameroon,CMR,5,1992,2020,Parallel (SMD/PR)
Democratic Republic of Congo,COD,5,2006,2020,Parallel (SMD/PR)
Republic of the Congo,COG,1,1992,2020,Two-round system
Colombia,COL,8,1962,2020,List PR with large MMDs
Comoros,COM,1,1992,2020,Two-round system
Cape Verde,CPV,7,1991,2020,List PR with small MMDs
Costa Rica,CRI,8,1962,2020,List PR with large MMDs
Cuba,CUB,1,1993,2020,Two-round system
Cyprus,CYP,8,1981,2020,List PR with large MMDs
Czech Republic,CZE,8,1920,2020,List PR with large MMDs
Germany,DEU,6,1949,2020,Mixed-member PR
Djibouti,DJI,6,2013,2020,Mixed-member PR
Denmark,DNK,8,1971,2020,List PR with large MMDs
Dominican Republic,DOM,7,1966,2020,List PR with small MMDs
Algeria,DZA,8,1997,2020,List PR with large MMDs
Ecuador,ECU,7,1952,2020,List PR with small MMDs
Egypt,EGY,1,1950,2020,Two-round system
Spain,ESP,7,1977,2020,List PR with small MMDs
Estonia,EST,9,1990,2020,STV
Ethiopia,ETH,0,1995,2020,First-past-the-post
Finland,FIN,8,1907,2020,List PR with large MMDs
Fiji,FJI,8,2014,2020,List PR with large MMDs
France,FRA,6,1951,2020,Mixed-member PR
